R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pepEn,pepMHCIEn,protonEn,solubleMarker,volume,
3.0E-35,7.3,270000.0,380000.0,15000.0,2400000.0,0.0,0.0,0.0,0.0,0.0,1.5,3099999.9999999995,76.0,0.81,0.81,0.0,44.0,0.12,0.0,0.0,0.0,260000.0,1.0,5.0E8,
3.0E-35,7.3,270000.0,380000.0,15000.0,2400000.0,0.0,0.0,0.0,0.0,0.0,1.5,3099999.9999999995,76.0,0.81,0.81,0.0,44.0,0.11,0.0,0.0,0.0,260000.0,1.0,5.0E8,
3.0E-35,7.3,270000.0,380000.0,15000.0,2400000.0,0.0,0.0,0.0,0.0,0.0,1.5,3099999.9999999995,76.0,0.81,0.81,0.0,44.0,0.11,0.0,0.0,0.0,260000.0,1.0,5.0E8,
3.0E-35,7.3,270000.0,380000.0,15000.0,2400000.0,0.0,0.0,0.0,0.0,0.0,1.5,3099999.9999999995,76.0,0.81,0.81,0.0,44.0,0.13,0.0,0.0,0.0,270000.0,1.0,5.0E8,
1.4E-34,11.0,290000.0,410000.0,38000.0,2999999.9999999995,3100.0,4600.0,4400.0,1000.0,3400.0,12.0,3799999.9999999995,0.41,2.1,2.1,0.0,240.0,130.0,0.0,0.0,0.0,1899999.9999999998,1.0,5.3E8,
1.1E-34,8.6,150000.0,350000.0,3000.0,2999999.9999999995,3100.0,4600.0,4400.0,1000.0,3400.0,12.0,3499999.9999999995,0.057,1.7,1.7,0.0,240.0,21.0,0.0,0.0,0.0,2899999.9999999995,1.0,5.3E8,
3.3E-35,2.5,33000.0,100000.0,3000.0,2999999.9999999995,3100.0,4500.0,4400.0,1000.0,3400.0,11.0,3099999.9999999995,0.0018,0.67,0.67,0.0,240.0,20.0,0.0,0.0,0.0,3799999.9999999995,1.0,5.2E8,
3.3E-35,2.5,33000.0,100000.0,3000.0,2999999.9999999995,3100.0,4500.0,4400.0,1000.0,3400.0,11.0,3099999.9999999995,0.0014,0.67,0.67,0.0,240.0,20.0,0.0,0.0,0.0,5200000.0,1.0,5.2E8,
3.3E-35,2.5,33000.0,100000.0,3000.0,2999999.9999999995,3100.0,4500.0,4400.0,1000.0,3400.0,12.0,3099999.9999999995,7.1E-4,0.67,0.67,0.0,240.0,20.0,0.0,0.0,0.0,6599999.999999999,1.0,5.2E8,
3.3E-35,2.5,33000.0,100000.0,3000.0,2999999.9999999995,3100.0,4500.0,4400.0,1000.0,3400.0,11.0,3099999.9999999995,4.3E-4,0.67,0.67,0.0,240.0,20.0,0.0,0.0,0.0,7799999.999999999,1.0,5.2E8,
3.3E-35,2.5,33000.0,100000.0,3000.0,2999999.9999999995,3100.0,4500.0,4400.0,1000.0,3400.0,11.0,3099999.9999999995,2.9E-4,0.67,0.67,0.0,240.0,20.0,0.0,0.0,0.0,9100000.0,1.0,5.2E8,
3.3E-35,2.5,33000.0,100000.0,3000.0,2999999.9999999995,3100.0,4500.0,4400.0,1000.0,3400.0,11.0,3099999.9999999995,2.0E-4,0.67,0.67,0.0,240.0,20.0,0.0,0.0,0.0,1.0E7,1.0,5.2E8,
3.3E-35,2.5,33000.0,100000.0,3000.0,2999999.9999999995,3100.0,4500.0,4400.0,1000.0,3400.0,12.0,3099999.9999999995,1.5E-4,0.67,0.67,0.0,240.0,20.0,0.0,0.0,0.0,1.2E7,1.0,5.2E8,
2.0E-35,1.5,33000.0,57000.0,3000.0,2999999.9999999995,3100.0,4500.0,4400.0,1000.0,3400.0,12.0,3099999.9999999995,6.0E-4,0.5,0.5,0.0,240.0,20.0,0.0,0.0,0.0,1.2E7,1.0,5.2E8,
