entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xPM,
0.3435,0.3135,0.004239,0.004727,0.003785,0.01657,0.004949,0.003359,0.00219,0.01232,0.007185,0.9407,
0.3435,0.3045,0.004239,0.004723,0.003788,0.01657,0.004968,0.003359,0.002171,0.01232,0.007185,0.9407,
0.3435,0.3075,0.004238,0.004717,0.003795,0.01657,0.004966,0.00333,0.002267,0.01222,0.007185,0.9407,
0.3432,0.31,0.004238,0.004705,0.003807,0.01657,0.004992,0.003279,0.00228,0.01218,0.007185,0.9408,
0.3449,0.312,0.004233,0.004698,0.003808,0.01655,0.005002,0.003265,0.002279,0.01246,0.007319,0.9404,
0.3449,0.3217,0.004215,0.004711,0.003813,0.01655,0.005022,0.0033,0.002271,0.0126,0.007133,0.9404,
0.3446,0.3232,0.004211,0.004712,0.003817,0.01656,0.005022,0.003348,0.002263,0.01261,0.007034,0.9404,
0.3476,0.315,0.004205,0.004709,0.003817,0.01654,0.005019,0.003346,0.002262,0.01266,0.007617,0.9398,
0.3493,0.3236,0.004203,0.004706,0.003817,0.01654,0.004991,0.003338,0.002375,0.0126,0.007939,0.9395,
0.3493,0.3204,0.004201,0.004699,0.003826,0.01654,0.00503,0.003336,0.002379,0.01256,0.007939,0.9395,
0.3493,0.3228,0.004189,0.004709,0.003828,0.01654,0.00503,0.003379,0.002371,0.01262,0.007838,0.9395,
0.3519,0.3213,0.00433,0.004699,0.003837,0.01653,0.005065,0.003472,0.002321,0.01256,0.00819,0.939,
0.3516,0.3235,0.004329,0.004695,0.003787,0.01653,0.005086,0.003476,0.002321,0.01254,0.00819,0.939,
0.3513,0.339,0.0043,0.004686,0.003796,0.01656,0.005086,0.0035,0.002381,0.01252,0.008035,0.9391,
0.3514,0.3322,0.004297,0.004683,0.003803,0.01656,0.005086,0.003554,0.002421,0.01247,0.007988,0.9391,
0.3514,0.3533,0.00429,0.004687,0.003806,0.01656,0.005124,0.003516,0.002421,0.01247,0.007988,0.9391,
0.3511,0.3481,0.004278,0.004697,0.003808,0.01656,0.005148,0.003553,0.002361,0.0125,0.007916,0.9392,
0.3509,0.3371,0.00427,0.004694,0.003818,0.01655,0.00516,0.003541,0.002361,0.01278,0.007636,0.9392,
0.3513,0.3386,0.004254,0.004702,0.003826,0.01655,0.005178,0.003522,0.002606,0.01253,0.007636,0.9392,
0.3512,0.3369,0.004236,0.004714,0.003831,0.01655,0.005194,0.003507,0.00263,0.0126,0.007541,0.9392,
0.352,0.3371,0.004229,0.004715,0.003836,0.01654,0.005193,0.003506,0.002649,0.01262,0.007658,0.939,
0.3519,0.3416,0.004218,0.004718,0.00384,0.01653,0.005193,0.003506,0.002727,0.01275,0.007456,0.9391,
