RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xPM,
1094000.0,1204000.0,902600.0,4269000.0,1105000.0,366700.0,312300.0,2695000.0,2084000.0,2.3999999999999997E8,
1094000.0,1202000.0,904600.0,4269000.0,1079000.0,366700.0,312300.0,2695000.0,2171000.0,2.3999999999999997E8,
1089000.0,1206000.0,905500.0,4269000.0,1079000.0,366700.0,328400.0,2751000.0,2098000.0,2.3999999999999997E8,
1088000.0,1205000.0,906500.0,4255000.0,1093000.0,357400.0,340300.0,2744000.0,2088000.0,2.3999999999999997E8,
1087000.0,1204000.0,908600.0,4240000.0,1097000.0,358300.0,347500.0,2732000.0,2181000.0,2.3999999999999997E8,
1085000.0,1203000.0,910900.0,4240000.0,1097000.0,365400.0,358600.0,2753000.0,2193000.0,2.3999999999999997E8,
1084000.0,1204000.0,911300.0,4240000.0,1097000.0,369300.0,1043000.0,2065000.0,2193000.0,2.3999999999999997E8,
1081000.0,1205000.0,913200.0,4240000.0,1100000.0,366200.0,1054000.0,2134000.0,2113000.0,2.3999999999999997E8,
1081000.0,1204000.0,913800.0,4240000.0,1100000.0,372600.0,1059000.0,2170000.0,2139000.0,2.3999999999999997E8,
1079000.0,1205000.0,915400.0,4240000.0,1097000.0,371800.0,1092000.0,2170000.0,2103000.0,2.3999999999999997E8,
1077000.0,1205000.0,917100.0,4240000.0,1101000.0,375700.0,1095000.0,2159000.0,2103000.0,2.3999999999999997E8,
1076000.0,1205000.0,917900.0,4240000.0,1101000.0,375700.0,1101000.0,2153000.0,2103000.0,2.3999999999999997E8,
1076000.0,1204000.0,919300.0,4240000.0,1101000.0,379600.0,1121000.0,2148000.0,2083000.0,2.3999999999999997E8,
1074000.0,1204000.0,921200.0,4240000.0,1101000.0,384400.0,1128000.0,2146000.0,2073000.0,2.3999999999999997E8,
1071000.0,1205000.0,923700.0,4240000.0,1112000.0,388100.0,1119000.0,2140000.0,2073000.0,2.3999999999999997E8,
